"","","Name","POS","Age","HT","WT","Exp","College"
"1",NA,"David Blough","QB","27","6' 1""","205 lbs","4","Purdue"
"2",NA,"Jeff Driskel","QB","30","6' 4""","235 lbs","8","Louisiana Tech"
"3",NA,"Colt McCoy","QB","36","6' 1""","212 lbs","14","Texas"
"4",NA,"Kyler Murray","QB","25","5' 10""","207 lbs","5","Oklahoma"
"5",NA,"Clayton Tune","QB","--","6' 3""","220 lbs","R","Houston"
"6",NA,"Corey Clement","RB","28","5' 10""","220 lbs","7","Wisconsin"
"7",NA,"James Conner","RB","28","6' 1""","233 lbs","7","Pittsburgh"
"8",NA,"Emari Demercado","RB","--","5' 11""","210 lbs","R","TCU"
"9",NA,"Keaontay Ingram","RB","23","6' 0""","215 lbs","2","USC"
"10",NA,"Ty'Son Williams","RB","26","6' 0""","220 lbs","2","BYU"
"11",NA,"Daniel Arias","WR","--","6' 4""","210 lbs","R","Colorado"
"12",NA,"Andre Baccellia","WR","26","5' 10""","175 lbs","2","Washington"
"13",NA,"Marquise Brown","WR","25","5' 9""","170 lbs","5","Oklahoma"
"14",NA,"Brian Cobbs","WR","--","6' 2""","210 lbs","R","Utah State"
"15",NA,"Greg Dortch","WR","24","5' 7""","175 lbs","3","Wake Forest"
"16",NA,"DeAndre Hopkins","WR","30","6' 1""","212 lbs","10","Clemson"
"17",NA,"Rondale Moore","WR","22","5' 7""","180 lbs","3","Purdue"
"18",NA,"Zach Pascal","WR","28","6' 2""","215 lbs","6","Old Dominion"
"19",NA,"Auden Tate","WR","26","6' 5""","228 lbs","5","Florida State"
"20",NA,"Michael Wilson","WR","23","6' 2""","209 lbs","R","Stanford"
"21",NA,"Javon Wims","WR","28","6' 4""","215 lbs","4","Georgia"
"22",NA,"Zach Ertz","TE","32","6' 5""","250 lbs","11","Stanford"
"23",NA,"Joel Honigford","TE","--","6' 6""","260 lbs","R","Michigan"
"24",NA,"Trey McBride","TE","23","6' 3""","249 lbs","2","Colorado State"
"25",NA,"Chris Pierce Jr.","TE","24","6' 3""","230 lbs","1","Vanderbilt"
"26",NA,"Bernhard Seikovits","TE","25","6' 5""","262 lbs","1","--"
"27",NA,"Noah Togiai","TE","25","6' 4""","244 lbs","2","Oregon State"
"28",NA,"Blake Whiteheart","TE","--","6' 4""","243 lbs","R","Wake Forest"
"29",NA,"Dennis Daley","G","26","6' 6""","325 lbs","5","South Carolina"
"30",NA,"Hjalte Froholdt","G","26","6' 5""","310 lbs","5","Arkansas"
"31",NA,"Jon Gaines II","G","--","6' 4""","300 lbs","R","UCLA"
"32",NA,"Marquis Hayes","G","24","6' 5""","324 lbs","2","Oklahoma"
"33",NA,"Will Hernandez","G","27","6' 2""","335 lbs","6","UTEP"
"34",NA,"Hayden Howerton","G","24","6' 3""","300 lbs","1","SMU"
"35",NA,"Lecitus Smith","G","24","6' 3""","320 lbs","2","Virginia Tech"
"36",NA,"Jackson Barton","OT","27","6' 7""","302 lbs","5","Utah"
"37",NA,"Kelvin Beachum","OT","33","6' 3""","308 lbs","12","SMU"
"38",NA,"D.J. Humphries","OT","29","6' 5""","307 lbs","9","Florida"
"39",NA,"Paris Johnson Jr.","OT","21","6' 6""","310 lbs","R","Ohio State"
"40",NA,"Josh Jones","OT","25","6' 5""","319 lbs","4","Houston"
"41",NA,"Lachavious Simmons","OT","26","6' 5""","315 lbs","3","Tennessee State"
"42",NA,"Badara Traore","OT","26","6' 7""","320 lbs","1","LSU"
"43",NA,"Elijah Wilkinson","OT","28","6' 4""","329 lbs","7","UMass"
