"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","R.Tannehill","QB",12,325,212,2536,14,6,34,98,2,2,1,165.24,0.652307692307692,0.0184615384615385,0.0430769230769231,171.24,0,0,0,0,0
"2","J.Dobbs","QB",2,68,40,411,2,2,8,44,0,2,0,20.84,0.588235294117647,0.0294117647058824,0.0294117647058824,22.84,0,0,0,0,0
"3","M.Willis","QB",7,61,31,276,0,3,27,123,1,2,0,19.34,0.508196721311475,0.0491803278688525,0,22.34,0,0,0,0,0
"4","D.Henry","RB",16,0,0,0,0,0,349,1538,13,3,0,302.76,0,0,0,282.1,41,33,398,0,0.0903083700440529
"5","D.Hilliard","RB",11,0,0,0,0,0,22,145,0,0,0,77.2,0,0,0,66.7,26,21,177,4,0.0572687224669604
"6","H.Haskins","RB",7,0,0,0,0,0,25,93,0,0,0,26,0,0,0,20.5,12,11,57,0,0.026431718061674
"7","J.Chestnut","RB",3,0,0,0,0,0,9,12,0,0,0,8.3,0,0,0,6.8,3,3,41,0,0.0066079295154185
"8","J.Ward","RB",2,0,0,0,0,0,5,25,0,0,0,5.2,0,0,0,4.2,3,2,7,0,0.0066079295154185
"9","A.Hooper","TE",17,0,0,0,0,0,0,0,0,0,0,97.4,0,0,0,76.9,60,41,444,2,0.13215859030837
"10","C.Okonkwo","TE",15,0,0,0,0,0,3,2,0,0,1,97.2,0,0,0,81.2,46,32,450,3,0.101321585903084
"11","G.Swaim","TE",11,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,17.8,16,12,58,1,0.0352422907488987
"12","R.Woods","WR",17,0,0,0,0,0,0,0,0,0,0,117.7,0,0,0,91.2,91,53,527,2,0.200440528634361
"13","T.Burks","WR",11,0,0,0,0,0,4,47,0,0,0,88.1,0,0,0,71.6,54,33,444,1,0.118942731277533
"14","N.Westbrook-Ikhine","WR",15,0,0,0,0,0,0,0,0,0,0,82.7,0,0,0,70.2,50,25,397,3,0.110132158590308
"15","K.Philips","WR",4,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,11.8,13,8,78,0,0.0286343612334802
"16","C.Conley","WR",3,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,6.6,5,4,46,0,0.0110132158590308
"17","C.Hollister","WR",4,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,6.9,5,3,54,0,0.0110132158590308
"18","R.McMath","WR",4,0,0,0,0,0,1,4,0,0,0,6.4,0,0,0,5.4,8,2,40,0,0.0176211453744493
"19","C.Board","WR",1,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.1,1,1,6,0,0.00220264317180617
"20","M.Kinsey","WR",1,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.8,1,1,3,0,0.00220264317180617
"21","J.Gordon","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00220264317180617
