"","team","off_yd","p_yd","car","r_yd","r_td","p_ff","p_att","cmp_pct","p_td","int","fmb"
"1","ARI",5783,3430,469,2353,17,1330.5,555,0.63963963963964,18,12,4
"2","ATL",5934,3775,522,2159,14,1281.4,530,0.616981132075472,17,17,8
"3","BAL",6542,3881,541,2661,26,1537.44,494,0.663967611336032,27,7,9
"4","BUF",6518,4306,512,2212,22,1597.04,579,0.664939550949914,29,18,4
"5","CAR",5018,3238,444,1780,7,1130.02,585,0.596581196581197,13,10,8
"6","CHI",5820,3421,534,2399,16,1279.84,513,0.625730994152047,19,15,6
"7","CIN",5784,4257,383,1527,12,1488.68,615,0.682926829268293,27,14,1
"8","CLE",6028,4011,518,2017,15,1392.24,624,0.568910256410256,24,23,8
"9","DAL",6580,4660,468,1920,14,1698.4,614,0.697068403908795,36,10,3
"10","DEN",5376,3566,451,1810,8,1323.24,513,0.65692007797271,28,9,6
"11","DET",6883,4575,498,2308,27,1703.3,605,0.672727272727273,30,12,7
"12","GB",6104,4210,440,1894,10,1508.8,581,0.643717728055077,32,11,4
"13","HOU",6238,4578,443,1660,10,1498.92,592,0.628378378378378,27,8,4
"14","IND",5941,3882,479,2059,19,1378.38,574,0.618466898954704,18,10,7
"15","JAX",6010,4364,453,1646,17,1462.86,619,0.663974151857835,22,14,8
"16","KC",6156,4372,417,1784,9,1493.58,634,0.662460567823344,28,17,4
"17","LAC",5954,4312,430,1642,11,1450.88,632,0.647151898734177,24,8,8
"18","LAR",6345,4300,477,2045,18,1517.5,583,0.619210977701544,26,13,1
"19","LV",5208,3666,413,1542,11,1240.94,557,0.624775583482944,20,18,4
"20","MIA",7006,4698,456,2308,27,1695.52,566,0.69434628975265,30,15,7
"21","MIN",6253,4700,393,1553,7,1519.3,631,0.671949286846276,30,19,11
"22","NE",5019,3392,415,1627,9,1150.28,557,0.63016157989228,16,21,4
"23","NO",5967,4225,480,1742,13,1515.7,606,0.66996699669967,28,11,5
"24","NYG",5225,3351,454,1874,10,1177.54,518,0.652509652509653,15,12,4
"25","NYJ",4999,3355,386,1644,7,1097.1,600,0.591666666666667,11,15,12
"26","PHI",6229,4039,510,2190,22,1476.26,562,0.654804270462633,24,16,7
"27","PIT",5431,3421,487,2010,16,1202.94,506,0.638339920948617,13,9,4
"28","SEA",5747,4167,382,1580,11,1386.38,575,0.645217391304348,23,12,3
"29","SF",6966,4577,499,2389,27,1671.68,491,0.684317718940937,33,12,5
"30","TB",5553,4044,439,1509,8,1381.36,568,0.640845070422535,28,10,4
"31","TEN",5367,3512,441,1855,16,1181.98,494,0.615384615384615,14,11,5
"32","WAS",5766,4174,358,1592,14,1422.56,636,0.639937106918239,24,21,6
